tipo_celular,module_size,HBP1_MM,HBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.145,41.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.226,90.0,98,26,26.53,1.53 (1.16-1.89),72,73.47,3.72 (3.41-4.02)
astrocytes 5,1141.0,0.14,64.0,166,29,17.47,1.81 (1.51-2.12),137,82.53,3.78 (3.52-4.04)
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,45,12.75,1.74 (1.49-1.99),308,87.25,4.29 (4.12-4.47)
GABA neurons expressing GLU receptors 22,400.0,0.399,96.0,24,5,20.83,0.42 (0.32-0.52),19,79.17,2.61 (2.16-3.07)
GLU like neurons 17,300.0,0.187,51.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,140.0,0.101,9.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.087,18.0,297,3,1.01,2.72 (2.04-3.39),294,98.99,3.69 (3.48-3.89)
oligodendrocytes 20,233.0,0.136,20.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.205,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.123,41.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,37,13.41,1.82 (1.61-2.04),239,86.59,3.90 (3.67-4.12)
oligodendrocytes 10,1277.0,0.126,62.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,85.0,0.325,55.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,367.0,0.049,11.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,69.0,0.276,83.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.35,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.15,49.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.191,86.0,127,15,11.81,2.06 (1.70-2.42),112,88.19,3.24 (2.77-3.72)
microglia 1,1615.0,0.18,98.0,161,43,26.71,1.73 (1.47-1.98),118,73.29,3.97 (3.70-4.24)
oligodendrocytes 3,681.0,0.13,77.0,87,39,44.83,1.90 (1.67-2.13),48,55.17,3.20 (2.81-3.59)
oligodendrocytes 2,921.0,0.18,95.0,200,3,1.5,1.32 (NA-NA),197,98.5,3.64 (3.37-3.90)
