tipo_celular,module_size,MAL_MM,MAL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.147,35.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.276,79.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.111,18.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.224,70.0,48,3,6.25,NA,45,93.75,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.332,90.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.214,94.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.099,54.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,104.0,0.164,13.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,42.0,0.409,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102.0,0.116,8.0,42,1,2.38,NA,41,97.62,5.68 (4.96-6.40)
oligodendrocytes 0,309.0,0.145,62.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.163,89.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.174,40.0,114,12,10.53,3.53 (2.87-4.18),102,89.47,5.39 (4.95-5.83)
