tipo_celular,module_size,FIS1_MM,FIS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.056,2.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.209,72.0,164,9,5.49,3.74 (2.78-4.69),155,94.51,4.11 (3.77-4.46)
GABA neurons expressing GLU receptors 22,487.0,0.184,36.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.248,70.0,410,64,15.61,4.25 (3.86-4.64),346,84.39,4.25 (4.03-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.102,9.0,213,36,16.9,2.60 (2.05-3.15),177,83.1,4.09 (3.84-4.33)
endothelial cells 9,916.0,0.284,68.0,302,29,9.6,3.69 (3.13-4.25),273,90.4,4.02 (3.78-4.27)
oligodendrocytes 20,938.0,0.222,86.0,169,28,16.57,3.20 (2.76-3.64),141,83.43,3.55 (3.30-3.80)
GABA like neurons 14,2402.0,0.49,87.0,455,59,12.97,3.79 (3.28-4.30),396,87.03,4.46 (4.27-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.262,90.0,235,22,9.36,4.05 (3.57-4.52),213,90.64,3.79 (3.54-4.05)
oligodendrocytes 10,735.0,0.164,80.0,277,13,4.69,4.83 (4.01-5.65),264,95.31,3.83 (3.58-4.08)
connective tissue cells 21,104.0,0.32,67.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.236,74.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96)
da neurons 6,729.0,0.216,78.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,131.0,0.499,100.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.339,94.0,252,45,17.86,3.13 (2.61-3.66),207,82.14,4.39 (4.12-4.66)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.247,86.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.587,98.0,213,21,9.86,4.08 (3.68-4.49),192,90.14,3.96 (3.65-4.27)
