tipo_celular,module_size,ATP6V0E1_MM,ATP6V0E1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.198,43.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393.0,0.158,54.0,59,4,6.78,3.74 (3.16-4.31),55,93.22,3.05 (2.52-3.59)
astrocytes 5,423.0,0.161,56.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,628.0,0.127,22.0,164,21,12.8,4.07 (3.61-4.54),143,87.2,4.09 (3.71-4.47)
GABA neurons expressing GLU receptors 22,599.0,0.323,90.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.125,51.0,101,10,9.9,5.24 (4.32-6.17),91,90.1,2.87 (2.53-3.22)
da like neurons 11,108.0,0.244,64.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.346,78.0,302,11,3.64,2.94 (2.06-3.81),291,96.36,4.04 (3.80-4.27)
oligodendrocytes 20,938.0,0.196,79.0,169,16,9.47,3.10 (2.44-3.76),153,90.53,3.53 (3.30-3.76)
GABA like neurons 14,2090.0,0.148,46.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.111,66.0,83,2,2.41,1.36 (0.40-2.32),81,97.59,3.31 (2.86-3.76)
oligodendrocyte progenitor cells 12,1049.0,0.109,60.0,235,19,8.09,3.84 (3.47-4.21),216,91.91,3.82 (3.57-4.08)
oligodendrocytes 10,483.0,0.16,65.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,301.0,0.442,67.0,158,10,6.33,3.71 (2.57-4.85),148,93.67,4.30 (3.91-4.69)
astrocytes 15,443.0,0.193,78.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,87.0,0.236,81.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.111,29.0,182,7,3.85,3.54 (2.78-4.29),175,96.15,3.64 (3.38-3.90)
astrocytes microglia 23,114.0,0.326,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.146,24.0,95,5,5.26,1.76 (0.49-3.02),90,94.74,3.49 (3.06-3.92)
oligodendrocytes 0,546.0,0.12,21.0,252,35,13.89,2.94 (2.38-3.49),217,86.11,4.34 (4.08-4.61)
microglia 1,406.0,0.107,19.0,278,9,3.24,4.22 (3.44-5.01),269,96.76,4.37 (4.09-4.65)
oligodendrocytes 3,303.0,0.052,5.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.216,35.0,213,6,2.82,4.28 (3.28-5.27),207,97.18,3.97 (3.69-4.25)
