tipo_celular,module_size,PGBD5_MM,PGBD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.095,28.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,21,5.95,1.66 (1.08-2.24),332,94.05,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,400.0,0.221,63.0,24,5,20.83,0.42 (0.32-0.52),19,79.17,2.61 (2.16-3.07)
GLU like neurons 17,1247.0,0.105,28.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,101.0,0.338,73.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.041,7.0,5,2,40.0,1.96 (-1.37-5.28),3,60.0,4.12 (1.26-6.98)
GABA like neurons 14,2090.0,0.186,72.0,74,3,4.05,1.83 (1.14-2.51),71,95.95,3.00 (2.61-3.38)
astrocytes 8,771.0,0.064,21.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.144,98.0,276,14,5.07,2.21 (1.57-2.84),262,94.93,3.64 (3.41-3.86)
oligodendrocytes 10,1277.0,0.074,26.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.121,28.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,151.0,0.174,38.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,448.0,0.103,53.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,63.0,0.331,57.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.128,20.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186.0,0.197,98.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.127,75.0,87,13,14.94,1.65 (1.12-2.18),74,85.06,2.76 (2.47-3.05)
oligodendrocytes 2,921.0,0.184,96.0,200,2,1.0,4.01 (1.73-6.28),198,99.0,3.62 (3.35-3.89)
