tipo_celular,module_size,RXRA_MM,RXRA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.273,83.0,73,8,10.96,4.11 (3.75-4.47),65,89.04,3.48 (3.09-3.87)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.175,98.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,63,17.85,2.12 (1.86-2.38),290,82.15,4.41 (4.24-4.59)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.052,1.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.194,76.0,74,16,21.62,2.32 (2.04-2.60),58,78.38,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.182,93.0,66,26,39.39,2.32 (1.70-2.94),40,60.61,3.94 (3.50-4.37)
oligodendrocyte progenitor cells 12,411.0,0.085,44.0,103,4,3.88,3.30 (2.45-4.16),99,96.12,5.67 (5.28-6.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.239,24.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.129,41.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.212,11.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,251.0,0.188,66.0,34,3,8.82,3.12 (1.75-4.49),31,91.18,5.54 (4.96-6.12)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.075,5.0,290,21,7.24,2.53 (1.97-3.09),269,92.76,3.92 (3.68-4.16)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
