tipo_celular,module_size,ZDHHC2_MM,ZDHHC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.162,42.0,73,2,2.74,4.14 (4.14-4.14),71,97.26,3.54 (3.19-3.90)
T cells 18,518.0,0.141,40.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.144,90.0,136,11,8.09,3.11 (2.48-3.75),125,91.91,3.22 (2.93-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,55,15.58,2.63 (2.24-3.01),298,84.42,4.21 (4.02-4.40)
GABA neurons expressing GLU receptors 22,823.0,0.25,87.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,380.0,0.198,70.0,39,6,15.38,3.02 (2.27-3.77),33,84.62,2.96 (2.31-3.60)
da like neurons 11,197.0,0.148,31.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.094,22.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,275.0,0.217,59.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.137,48.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68)
astrocytes 8,771.0,0.086,34.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,41,14.86,2.61 (2.26-2.96),235,85.14,3.76 (3.52-4.01)
oligodendrocytes 10,2107.0,0.058,8.0,358,51,14.25,2.38 (1.99-2.77),307,85.75,4.21 (4.02-4.41)
connective tissue cells 21,104.0,0.235,24.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,338.0,0.176,68.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,113.0,0.12,12.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.283,33.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.137,35.0,104,31,29.81,2.72 (2.26-3.17),73,70.19,2.93 (2.58-3.29)
oligodendrocytes 0,187.0,0.146,35.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615.0,0.164,94.0,161,31,19.25,2.03 (1.57-2.49),130,80.75,3.66 (3.37-3.94)
oligodendrocytes 3,681.0,0.099,55.0,87,16,18.39,1.77 (1.19-2.34),71,81.61,2.79 (2.50-3.07)
oligodendrocytes 2,921.0,0.139,53.0,200,14,7.0,2.95 (2.41-3.49),186,93.0,3.68 (3.40-3.97)
