tipo_celular,module_size,DPY19L2_MM,DPY19L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.124,64.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.179,97.0,353,14,3.97,1.46 (0.79-2.13),339,96.03,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,714.0,0.18,51.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,229.0,0.151,22.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,265.0,0.13,25.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.217,55.0,306,8,2.61,2.55 (1.69-3.42),298,97.39,5.19 (4.93-5.46)
astrocytes 8,727.0,0.091,39.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.138,61.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.236,33.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.076,39.0,105,6,5.71,1.76 (1.01-2.51),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.475,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,52.0,104,6,5.77,1.88 (0.68-3.09),98,94.23,2.93 (2.64-3.21)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
