tipo_celular,module_size,ACLY_MM,ACLY_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.263,79.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282.0,0.117,28.0,241,16,6.64,3.72 (3.15-4.29),225,93.36,4.09 (3.82-4.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.135,20.0,251,16,6.37,3.72 (3.44-3.99),235,93.63,4.08 (3.83-4.33)
GABA neurons expressing GLU receptors 22,848.0,0.284,73.0,262,37,14.12,2.85 (2.38-3.31),225,85.88,4.37 (4.11-4.63)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.195,55.0,410,42,10.24,3.50 (3.10-3.89),368,89.76,4.33 (4.13-4.53)
GABA neurons expressing GABA receptors 13,357.0,0.285,88.0,237,16,6.75,3.48 (2.59-4.36),221,93.25,4.47 (4.24-4.71)
endothelial cells 9,338.0,0.07,14.0,191,6,3.14,3.70 (3.36-4.03),185,96.86,3.89 (3.66-4.12)
oligodendrocytes 20,250.0,0.188,55.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.295,65.0,455,49,10.77,2.66 (2.14-3.18),406,89.23,4.55 (4.36-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.122,56.0,32,8,25.0,1.53 (0.47-2.60),24,75.0,3.93 (3.04-4.82)
oligodendrocytes 10,806.0,0.178,56.0,261,22,8.43,3.05 (2.62-3.48),239,91.57,4.47 (4.22-4.73)
connective tissue cells 21,111.0,0.458,100.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.181,34.0,291,29,9.97,3.21 (2.70-3.73),262,90.03,4.45 (4.21-4.69)
da neurons 6,300.0,0.307,88.0,159,4,2.52,4.03 (NA-NA),155,97.48,4.37 (4.06-4.68)
astrocytes microglia 23,114.0,0.331,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.086,7.0,238,8,3.36,2.23 (1.44-3.02),230,96.64,3.69 (3.47-3.92)
microglia 1,214.0,0.094,10.0,227,25,11.01,3.69 (3.30-4.08),202,88.99,4.13 (3.87-4.38)
oligodendrocytes 3,457.0,0.074,24.0,345,38,11.01,3.25 (2.81-3.70),307,88.99,4.38 (4.16-4.60)
oligodendrocytes 2,1630.0,0.139,45.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
