tipo_celular,module_size,DCAF17_MM,DCAF17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.202,72.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,349.0,0.095,16.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1656.0,0.138,84.0,136,1,0.74,4.65 (NA-NA),135,99.26,3.20 (2.92-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,21,5.95,1.96 (1.36-2.55),332,94.05,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,714.0,0.149,31.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.031,5.0,36,6,16.67,2.40 (2.01-2.78),30,83.33,1.82 (1.41-2.22)
GABA like neurons 14,3052.0,0.12,34.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67)
astrocytes 8,771.0,0.075,28.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,14,5.07,2.47 (1.82-3.12),262,94.93,3.62 (3.39-3.84)
oligodendrocytes 10,2107.0,0.119,38.0,358,22,6.15,2.15 (1.47-2.82),336,93.85,4.01 (3.82-4.21)
connective tissue cells 21,100.0,0.174,10.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.036,5.0,105,11,10.48,2.38 (1.60-3.17),94,89.52,3.32 (2.96-3.68)
oligodendrocytes 16,61.0,0.208,52.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.289,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.133,28.0,104,13,12.5,2.00 (1.45-2.55),91,87.5,3.00 (2.69-3.30)
oligodendrocytes 0,2078.0,0.121,65.0,238,3,1.26,4.09 (3.18-4.99),235,98.74,3.63 (3.41-3.85)
microglia 1,1615.0,0.114,58.0,161,21,13.04,1.96 (1.36-2.55),140,86.96,3.52 (3.24-3.80)
oligodendrocytes 3,681.0,0.104,59.0,87,16,18.39,2.15 (1.56-2.75),71,81.61,2.69 (2.39-2.99)
oligodendrocytes 2,921.0,0.146,65.0,200,2,1.0,3.91 (2.46-5.36),198,99.0,3.62 (3.35-3.89)
