tipo_celular,module_size,TRIM37_MM,TRIM37_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.225,55.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727,0.187,81.0,49,9,18.37,4.06 (3.15-4.97),40,81.63,2.18 (1.80-2.56)
astrocytes 5,1141,0.084,4.0,166,62,37.35,2.94 (2.59-3.30),104,62.65,3.71 (3.37-4.04)
oligodendrocyte progenitor cells 7,4285,0.156,80.0,353,108,30.59,2.68 (2.42-2.94),245,69.41,4.52 (4.33-4.71)
GABA neurons expressing GLU receptors 22,848,0.182,38.0,262,28,10.69,3.30 (2.68-3.92),234,89.31,4.29 (4.03-4.55)
GLU like neurons 17,1247,0.143,57.0,51,3,5.88,2.71 (1.39-4.04),48,94.12,3.69 (3.08-4.30)
da like neurons 11,853,0.14,58.0,133,61,45.86,2.58 (2.27-2.90),72,54.14,4.01 (3.52-4.51)
GABA neurons expressing GABA receptors 13,238,0.252,84.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,586,0.116,25.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295,0.221,64.0,28,11,39.29,3.04 (2.44-3.64),17,60.71,1.66 (1.16-2.16)
GABA like neurons 14,2402,0.127,17.0,455,49,10.77,2.66 (2.20-3.12),406,89.23,4.62 (4.43-4.80)
astrocytes 8,520,0.05,14.0,288,30,10.42,3.04 (2.57-3.50),258,89.58,4.33 (4.12-4.54)
oligodendrocyte progenitor cells 12,3303,0.095,69.0,276,79,28.62,2.71 (2.40-3.01),197,71.38,3.93 (3.67-4.19)
oligodendrocytes 10,806,0.155,49.0,261,14,5.36,3.24 (2.36-4.13),247,94.64,4.44 (4.19-4.69)
connective tissue cells 21,92,0.461,99.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768,0.104,67.0,105,35,33.33,2.32 (1.93-2.70),70,66.67,3.72 (3.29-4.15)
oligodendrocytes 16,81,0.163,42.0,3,2,66.67,NA,1,33.33,NA
da neurons 6,553,0.19,81.0,124,14,11.29,4.01 (2.95-5.06),110,88.71,4.21 (3.78-4.63)
astrocytes microglia 23,108,0.298,36.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,787,0.147,42.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078,0.108,37.0,238,38,15.97,3.25 (2.85-3.66),200,84.03,3.71 (3.46-3.96)
microglia 1,958,0.066,2.0,290,35,12.07,3.31 (2.83-3.79),255,87.93,3.89 (3.64-4.14)
oligodendrocytes 3,457,0.076,26.0,345,35,10.14,3.51 (3.11-3.90),310,89.86,4.39 (4.16-4.62)
oligodendrocytes 2,1630,0.127,22.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
