tipo_celular,module_size,USP22_MM,USP22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.191,39.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477,0.169,54.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423,0.1,13.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,296,0.103,7.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.184,39.0,262,11,4.2,2.40 (1.48-3.33),251,95.8,4.26 (4.01-4.51)
GLU like neurons 17,229,0.15,21.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09)
da like neurons 11,1220,0.201,57.0,410,9,2.2,2.40 (1.43-3.36),401,97.8,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,200,0.189,73.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,586,0.051,2.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,676,0.012,1.0,110,7,6.36,1.92 (1.07-2.77),103,93.64,5.29 (4.87-5.72)
GABA like neurons 14,2402,0.241,53.0,455,28,6.15,1.85 (1.41-2.29),427,93.85,4.57 (4.40-4.75)
astrocytes 8,520,0.095,39.0,288,10,3.47,3.13 (1.73-4.53),278,96.53,4.22 (4.02-4.41)
oligodendrocyte progenitor cells 12,708,0.076,32.0,32,8,25.0,1.35 (0.18-2.51),24,75.0,3.88 (3.02-4.73)
oligodendrocytes 10,806,0.185,59.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,142,0.208,5.0,55,7,12.73,1.18 (0.60-1.76),48,87.27,4.16 (3.26-5.06)
astrocytes 15,1768,0.111,72.0,105,28,26.67,2.17 (1.75-2.60),77,73.33,3.63 (3.24-4.03)
oligodendrocytes 16,113,0.189,35.0,10,3,30.0,2.55 (1.82-3.29),7,70.0,3.11 (1.98-4.23)
da neurons 6,307,0.216,95.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,108,0.234,14.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,514,0.131,16.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95)
oligodendrocytes 0,1186,0.145,51.0,300,16,5.33,3.23 (2.93-3.53),284,94.67,3.83 (3.61-4.05)
microglia 1,958,0.088,15.0,290,21,7.24,2.69 (2.14-3.23),269,92.76,3.92 (3.68-4.16)
oligodendrocytes 3,1003,0.084,37.0,111,3,2.7,3.44 (2.67-4.22),108,97.3,3.30 (2.94-3.65)
oligodendrocytes 2,921,0.159,83.0,200,12,6.0,3.10 (2.50-3.71),188,94.0,3.66 (3.38-3.94)
