tipo_celular,module_size,HERPUD2_MM,HERPUD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.125,26.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,518.0,0.157,53.0,131,1,0.76,5.88 (NA-NA),130,99.24,3.05 (2.78-3.32)
astrocytes 5,1141.0,0.115,28.0,166,3,1.81,1.19 (-0.41-2.78),163,98.19,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,6,1.7,3.05 (0.83-5.26),347,98.3,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,703.0,0.197,58.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,795.0,0.124,46.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,140.0,0.251,60.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.069,7.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,228.0,0.055,12.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,3052.0,0.082,9.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.151,57.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.048,15.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,2107.0,0.103,30.0,358,7,1.96,1.17 (0.51-1.84),351,98.04,3.93 (3.74-4.12)
connective tissue cells 21,126.0,0.44,98.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,1401.0,0.057,22.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,121.0,0.192,35.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.265,16.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,787.0,0.178,92.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.123,69.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615.0,0.124,70.0,161,5,3.11,1.84 (0.55-3.13),156,96.89,3.33 (3.06-3.60)
oligodendrocytes 3,854.0,0.069,24.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.162,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
