tipo_celular,module_size,IVNS1ABP_MM,IVNS1ABP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.206,58.0,102,22,21.57,2.07 (1.62-2.51),80,78.43,3.92 (3.51-4.32)
T cells 18,393.0,0.275,85.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.177,96.0,353,44,12.46,2.15 (1.73-2.57),309,87.54,4.23 (4.05-4.40)
GABA neurons expressing GLU receptors 22,599.0,0.223,58.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.157,50.0,155,1,0.65,3.42 (NA-NA),154,99.35,4.35 (3.98-4.71)
oligodendrocytes 20,298.0,0.173,63.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.164,71.0,125,2,1.6,3.37 (2.64-4.10),123,98.4,3.35 (3.02-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.074,28.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.137,47.0,358,47,13.13,2.03 (1.65-2.41),311,86.87,4.25 (4.07-4.44)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,61.0,0.313,97.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.286,28.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.192,86.0,127,12,9.45,2.13 (1.62-2.63),115,90.55,3.21 (2.74-3.68)
microglia 1,480.0,0.203,56.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,743.0,0.138,91.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,921.0,0.17,91.0,200,6,3.0,2.66 (1.82-3.50),194,97.0,3.66 (3.39-3.93)
