tipo_celular,module_size,RPS18_MM,RPS18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.514,92.0,98,34,34.69,3.00 (2.32-3.67),64,65.31,3.34 (2.70-3.97)
T cells 18,506.0,0.461,92.0,225,35,15.56,3.12 (2.47-3.78),190,84.44,3.70 (3.44-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.34,93.0,108,9,8.33,3.63 (3.10-4.16),99,91.67,3.21 (2.72-3.70)
GABA neurons expressing GLU receptors 22,400.0,0.37,95.0,24,9,37.5,1.04 (0.34-1.73),15,62.5,2.83 (2.39-3.26)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,90.0,0.148,39.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,916.0,0.551,96.0,302,15,4.97,3.37 (2.62-4.11),287,95.03,4.02 (3.78-4.25)
oligodendrocytes 20,938.0,0.203,81.0,169,24,14.2,3.07 (2.43-3.70),145,85.8,3.54 (3.31-3.77)
GABA like neurons 14,2402.0,0.529,91.0,455,42,9.23,2.20 (1.74-2.65),413,90.77,4.61 (4.43-4.79)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.476,99.0,235,18,7.66,3.41 (2.91-3.92),217,92.34,3.86 (3.61-4.10)
oligodendrocytes 10,483.0,0.467,95.0,129,18,13.95,4.10 (3.39-4.81),111,86.05,3.33 (2.89-3.76)
connective tissue cells 21,301.0,0.623,95.0,158,15,9.49,2.75 (2.07-3.43),143,90.51,4.50 (4.11-4.89)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.296,84.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,729.0,0.176,62.0,182,21,11.54,3.06 (2.21-3.91),161,88.46,3.71 (3.44-3.97)
astrocytes microglia 23,137.0,0.484,88.0,188,39,20.74,2.69 (2.13-3.25),149,79.26,4.95 (4.60-5.30)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.253,80.0,252,47,18.65,2.51 (1.96-3.07),205,81.35,4.49 (4.25-4.73)
microglia 1,406.0,0.574,97.0,278,11,3.96,3.74 (3.19-4.29),267,96.04,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.255,88.0,154,14,9.09,3.95 (3.32-4.58),140,90.91,3.59 (3.24-3.93)
oligodendrocytes 2,526.0,0.358,76.0,213,8,3.76,3.74 (3.19-4.29),205,96.24,3.99 (3.70-4.28)
