tipo_celular,module_size,NFIX_MM,NFIX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.126,75.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,448.0,0.075,7.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.071,8.0,91,8,8.79,0.85 (0.24-1.46),83,91.21,5.04 (4.58-5.49)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.249,61.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.386,66.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,2090.0,0.097,12.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.138,84.0,66,19,28.79,1.95 (1.40-2.50),47,71.21,3.86 (3.42-4.31)
oligodendrocyte progenitor cells 12,143.0,0.412,39.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,236.0,0.683,95.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,82.0,0.282,62.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,458.0,0.116,61.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153.0,0.525,99.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.293,63.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38)
astrocytes 4,251.0,0.225,85.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,261.0,0.217,73.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.252,32.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,237.0,0.151,18.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
