tipo_celular,module_size,WDR48_MM,WDR48_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.217,49.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,477.0,0.178,62.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.105,18.0,166,28,16.87,2.18 (1.78-2.58),138,83.13,3.70 (3.43-3.97)
oligodendrocyte progenitor cells 7,4285.0,0.175,95.0,353,43,12.18,2.22 (1.80-2.64),310,87.82,4.19 (4.00-4.37)
GABA neurons expressing GLU receptors 22,823.0,0.173,46.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,637.0,0.096,19.0,91,10,10.99,1.23 (0.41-2.05),81,89.01,5.12 (4.66-5.57)
da like neurons 11,289.0,0.092,10.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.094,23.0,297,6,2.02,3.91 (3.28-4.55),291,97.98,3.67 (3.46-3.88)
oligodendrocytes 20,322.0,0.048,14.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.114,29.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69)
astrocytes 8,354.0,0.088,27.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,411.0,0.055,28.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,483.0,0.049,10.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,183.0,0.135,3.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,377.0,0.197,79.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,113.0,0.211,80.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,307.0,0.047,1.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,94.0,0.304,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.172,92.0,104,20,19.23,1.62 (1.19-2.06),84,80.77,3.15 (2.85-3.45)
oligodendrocytes 0,2078.0,0.146,97.0,238,10,4.2,2.37 (1.66-3.09),228,95.8,3.69 (3.46-3.91)
microglia 1,1615.0,0.121,66.0,161,41,25.47,2.21 (1.78-2.63),120,74.53,3.75 (3.46-4.04)
oligodendrocytes 3,1003.0,0.048,4.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,1630.0,0.122,16.0,154,6,3.9,3.23 (2.85-3.60),148,96.1,3.25 (2.97-3.52)
