tipo_celular,module_size,RMDN3_MM,RMDN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.11,20.0,59,1,1.69,2.86 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,1656.0,0.097,22.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,15,4.25,1.45 (0.86-2.04),338,95.75,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.231,63.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.169,72.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.099,18.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.19,56.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.146,45.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.048,20.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,218.0,0.054,21.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,483.0,0.072,24.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.044,12.0,96,6,6.25,3.54 (2.29-4.79),90,93.75,3.62 (3.14-4.10)
oligodendrocytes 16,156.0,0.222,67.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.342,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.156,72.0,104,4,3.85,1.48 (0.36-2.59),100,96.15,2.92 (2.64-3.21)
oligodendrocytes 0,2078.0,0.112,45.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.054,11.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.143,53.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
