tipo_celular,module_size,LARP4_MM,LARP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.148,21.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477,0.244,88.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423,0.133,38.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.266,88.0,127,6,4.72,1.75 (0.79-2.71),121,95.28,3.99 (3.66-4.32)
GABA neurons expressing GLU receptors 22,599,0.246,68.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,300,0.162,24.0,16,2,12.5,0.79 (NA-NA),14,87.5,2.18 (1.29-3.08)
da like neurons 11,265,0.247,72.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,77,0.22,79.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,1653,0.144,63.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322,0.235,85.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.145,56.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260,0.167,73.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,708,0.033,4.0,32,6,18.75,1.34 (0.33-2.35),26,81.25,3.77 (2.89-4.64)
oligodendrocytes 10,2107,0.107,32.0,358,45,12.57,1.81 (1.47-2.15),313,87.43,4.25 (4.07-4.43)
connective tissue cells 21,152,0.367,86.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,208,0.055,29.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,81,0.257,72.0,11,1,9.09,NA,10,90.91,1.43 (0.65-2.21)
da neurons 6,518,0.105,45.0,122,12,9.84,2.05 (0.72-3.37),110,90.16,4.25 (3.87-4.63)
astrocytes microglia 23,96,0.272,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.156,32.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078,0.136,89.0,238,5,2.1,2.02 (1.11-2.92),233,97.9,3.68 (3.46-3.90)
microglia 1,958,0.16,93.0,290,22,7.59,2.74 (2.00-3.47),268,92.41,3.91 (3.67-4.14)
oligodendrocytes 3,639,0.061,18.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,921,0.125,29.0,200,9,4.5,2.81 (1.53-4.09),191,95.5,3.65 (3.38-3.92)
