tipo_celular,module_size,SULF2_MM,SULF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.206,66.0,58,23,39.66,3.12 (2.70-3.55),35,60.34,4.90 (4.39-5.41)
oligodendrocyte progenitor cells 7,436.0,0.292,98.0,219,10,4.57,3.82 (3.09-4.56),209,95.43,5.31 (5.02-5.61)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.131,48.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.119,41.0,133,18,13.53,1.38 (1.00-1.76),115,86.47,3.61 (3.29-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.266,68.0,120,25,20.83,3.47 (3.04-3.91),95,79.17,4.96 (4.60-5.32)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.158,53.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.029,2.0,66,13,19.7,1.71 (0.89-2.54),53,80.3,3.67 (3.27-4.08)
oligodendrocyte progenitor cells 12,254.0,0.482,96.0,37,18,48.65,3.85 (3.21-4.48),19,51.35,5.40 (4.53-6.27)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.235,30.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401.0,0.099,63.0,96,4,4.17,2.48 (1.34-3.62),92,95.83,3.67 (3.21-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.127,66.0,122,13,10.66,1.75 (1.00-2.49),109,89.34,4.35 (3.97-4.74)
astrocytes microglia 23,131.0,0.308,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.147,33.0,22,3,13.64,4.00 (1.15-6.84),19,86.36,4.61 (3.61-5.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
