tipo_celular,module_size,SORBS3_MM,SORBS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.183,63.0,32,1,3.12,5.98 (NA-NA),31,96.88,3.64 (2.85-4.43)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.065,2.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.13,41.0,353,17,4.82,1.51 (0.94-2.08),336,95.18,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.198,46.0,62,4,6.45,5.87 (5.71-6.03),58,93.55,3.90 (3.44-4.36)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.037,8.0,89,2,2.25,3.83 (2.14-5.53),87,97.75,2.73 (2.37-3.08)
oligodendrocyte progenitor cells 12,708.0,0.078,33.0,32,11,34.38,1.53 (0.49-2.57),21,65.62,4.06 (3.17-4.94)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.217,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.124,79.0,96,16,16.67,4.18 (3.37-5.00),80,83.33,3.50 (2.99-4.01)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.309,56.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,721.0,0.083,1.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.184,69.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
