tipo_celular,module_size,CD47_MM,CD47_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.188,42.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,393,0.141,43.0,59,4,6.78,5.54 (2.44-8.64),55,93.22,2.91 (2.46-3.36)
astrocytes 5,423,0.112,23.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285,0.145,65.0,353,34,9.63,1.90 (1.49-2.31),319,90.37,4.17 (4.00-4.35)
GABA neurons expressing GLU receptors 22,567,0.214,60.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74)
GLU like neurons 17,637,0.189,60.0,91,22,24.18,2.63 (1.81-3.45),69,75.82,5.47 (5.00-5.94)
da like neurons 11,289,0.152,37.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,265,0.131,36.0,78,15,19.23,3.28 (2.81-3.74),63,80.77,4.66 (4.18-5.14)
endothelial cells 9,450,0.124,21.0,74,4,5.41,4.21 (2.56-5.85),70,94.59,5.58 (5.00-6.15)
oligodendrocytes 20,250,0.051,13.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.186,37.0,455,34,7.47,2.25 (1.74-2.76),421,92.53,4.54 (4.35-4.72)
astrocytes 8,354,0.097,34.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708,0.115,52.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,735,0.098,51.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,250,0.258,35.0,117,18,15.38,3.79 (3.13-4.45),99,84.62,5.80 (5.38-6.22)
astrocytes 15,1768,0.179,98.0,105,14,13.33,1.53 (1.15-1.91),91,86.67,3.50 (3.14-3.85)
oligodendrocytes 16,82,0.202,70.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.162,86.0,122,25,20.49,2.07 (1.56-2.58),97,79.51,4.55 (4.14-4.95)
astrocytes microglia 23,63,0.306,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.156,31.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,2078,0.133,86.0,238,6,2.52,2.62 (1.08-4.16),232,97.48,3.67 (3.45-3.89)
microglia 1,214,0.087,8.0,227,14,6.17,3.26 (2.52-4.00),213,93.83,4.13 (3.89-4.38)
oligodendrocytes 3,854,0.162,95.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,528,0.157,23.0,175,26,14.86,3.18 (2.74-3.63),149,85.14,4.62 (4.22-5.01)
