tipo_celular,module_size,SRI_MM,SRI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.088,7.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,328.0,0.173,53.0,128,2,1.56,4.83 (2.76-6.90),126,98.44,3.54 (3.20-3.89)
oligodendrocyte progenitor cells 7,628.0,0.212,74.0,164,17,10.37,3.64 (3.25-4.04),147,89.63,4.14 (3.78-4.51)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.243,98.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.14,34.0,410,31,7.56,3.23 (2.85-3.62),379,92.44,4.34 (4.14-4.54)
GABA neurons expressing GABA receptors 13,77.0,0.17,48.0,8,3,37.5,2.34 (0.87-3.81),5,62.5,3.97 (3.44-4.51)
endothelial cells 9,916.0,0.2,48.0,302,14,4.64,2.97 (2.24-3.71),288,95.36,4.04 (3.81-4.27)
oligodendrocytes 20,228.0,0.157,32.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,2402.0,0.453,85.0,455,36,7.91,2.59 (2.09-3.08),419,92.09,4.52 (4.33-4.71)
astrocytes 8,283.0,0.059,15.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.148,75.0,235,20,8.51,3.56 (3.18-3.95),215,91.49,3.84 (3.60-4.09)
oligodendrocytes 10,735.0,0.091,47.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,69.0,0.373,83.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.08,44.0,105,16,15.24,2.35 (1.81-2.88),89,84.76,3.38 (3.01-3.76)
oligodendrocytes 16,74.0,0.141,11.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,729.0,0.1,22.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,140.0,0.292,37.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.137,36.0,104,16,15.38,2.47 (1.84-3.10),88,84.62,2.94 (2.63-3.25)
oligodendrocytes 0,546.0,0.115,19.0,252,39,15.48,2.65 (2.17-3.13),213,84.52,4.38 (4.12-4.65)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.069,32.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,526.0,0.207,31.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
