tipo_celular,module_size,NSMAF_MM,NSMAF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.209,75.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,624.0,0.11,18.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.129,46.0,166,4,2.41,0.63 (0.31-0.95),162,97.59,3.47 (3.23-3.72)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,8,2.27,1.15 (0.39-1.91),345,97.73,3.97 (3.79-4.15)
GABA neurons expressing GLU receptors 22,823.0,0.195,60.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.132,57.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,197.0,0.199,52.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.114,39.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,275.0,0.709,100.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.161,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.073,27.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.1,75.0,276,6,2.17,1.03 (0.64-1.41),270,97.83,3.62 (3.40-3.83)
oligodendrocytes 10,2107.0,0.302,90.0,358,11,3.07,1.08 (0.53-1.63),347,96.93,3.98 (3.79-4.17)
connective tissue cells 21,69.0,0.358,75.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367.0,0.152,56.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,90.0,0.218,52.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.209,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.148,43.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309.0,0.128,42.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,480.0,0.14,23.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02)
oligodendrocytes 3,854.0,0.123,79.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.128,21.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
