tipo_celular,module_size,TRIM26_MM,TRIM26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.328,97.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,477.0,0.244,89.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.224,82.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.369,95.0,127,15,11.81,2.47 (1.91-3.03),112,88.19,4.12 (3.76-4.48)
GABA neurons expressing GLU receptors 22,703.0,0.208,62.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,795.0,0.094,26.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,97.0,0.13,31.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.108,20.0,141,9,6.38,2.34 (1.52-3.17),132,93.62,3.01 (2.76-3.26)
oligodendrocytes 20,275.0,0.238,65.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.185,85.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68)
astrocytes 8,577.0,0.191,91.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,55,19.93,2.47 (2.14-2.80),221,80.07,3.87 (3.62-4.11)
oligodendrocytes 10,2107.0,0.062,9.0,358,69,19.27,2.24 (1.93-2.55),289,80.73,4.37 (4.18-4.55)
connective tissue cells 21,110.0,0.266,54.0,13,6,46.15,2.94 (2.15-3.73),7,53.85,3.27 (1.83-4.70)
astrocytes 15,418.0,0.06,34.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16)
oligodendrocytes 16,104.0,0.289,94.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.372,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.34,91.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,2078.0,0.114,50.0,238,23,9.66,2.97 (2.42-3.51),215,90.34,3.71 (3.47-3.94)
microglia 1,958.0,0.189,97.0,290,15,5.17,2.63 (1.87-3.39),275,94.83,3.89 (3.66-4.13)
oligodendrocytes 3,639.0,0.081,38.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,1630.0,0.156,78.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
