tipo_celular,module_size,KCTD2_MM,KCTD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.335,82.0,262,14,5.34,2.99 (2.18-3.81),248,94.66,4.25 (4.00-4.51)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.14,34.0,410,15,3.66,3.03 (2.42-3.64),395,96.34,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,88.0,0.253,91.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,338.0,0.138,53.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938.0,0.139,56.0,169,12,7.1,3.18 (2.34-4.03),157,92.9,3.51 (3.28-3.74)
GABA like neurons 14,2402.0,0.204,43.0,455,21,4.62,2.60 (1.95-3.25),434,95.38,4.46 (4.27-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.18,57.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,104.0,0.208,46.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,307.0,0.174,84.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.101,24.0,238,5,2.1,3.27 (1.69-4.85),233,97.9,3.65 (3.42-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.071,27.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23)
oligodendrocytes 2,1630.0,0.144,54.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
