tipo_celular,module_size,ZNF439_MM,ZNF439_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.358,97.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.105,33.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,36,10.2,2.13 (1.81-2.44),317,89.8,4.16 (3.97-4.35)
GABA neurons expressing GLU receptors 22,599.0,0.214,51.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,489.0,0.068,6.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853.0,0.181,77.0,133,43,32.33,2.50 (2.17-2.84),90,67.67,3.72 (3.29-4.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.409,93.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.156,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.054,19.0,66,5,7.58,2.29 (0.88-3.69),61,92.42,3.32 (2.88-3.75)
oligodendrocyte progenitor cells 12,3303.0,0.062,28.0,276,29,10.51,1.78 (1.53-2.02),247,89.49,3.82 (3.60-4.05)
oligodendrocytes 10,2107.0,0.141,48.0,358,44,12.29,2.26 (1.92-2.61),314,87.71,4.18 (3.98-4.37)
connective tissue cells 21,100.0,0.334,77.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1401.0,0.036,6.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,86.0,0.163,37.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.318,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.163,83.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,2078.0,0.116,55.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93)
microglia 1,1615.0,0.097,30.0,161,33,20.5,2.05 (1.72-2.37),128,79.5,3.68 (3.38-3.98)
oligodendrocytes 3,854.0,0.102,63.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.148,69.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
