tipo_celular,module_size,PPM1K_MM,PPM1K_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.246,89.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610,0.172,66.0,98,15,15.31,1.36 (0.81-1.91),83,84.69,3.48 (3.18-3.78)
astrocytes 5,1141,0.124,38.0,166,11,6.63,1.73 (1.06-2.40),155,93.37,3.54 (3.28-3.79)
oligodendrocyte progenitor cells 7,628,0.132,26.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,400,0.268,83.0,24,8,33.33,1.03 (0.29-1.76),16,66.67,2.72 (2.24-3.20)
GLU like neurons 17,380,0.174,51.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,153,0.067,4.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,200,0.233,89.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,450,0.149,29.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,275,0.108,15.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.244,54.0,455,15,3.3,1.37 (0.84-1.90),440,96.7,4.48 (4.30-4.66)
astrocytes 8,727,0.162,78.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143,0.529,100.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806,0.093,24.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,183,0.203,21.0,32,1,3.12,NA,31,96.88,5.12 (4.48-5.76)
astrocytes 15,1768,0.115,75.0,105,12,11.43,1.85 (1.28-2.43),93,88.57,3.40 (3.05-3.76)
oligodendrocytes 16,107,0.231,60.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29)
da neurons 6,553,0.112,37.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,47,0.257,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.097,4.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74)
oligodendrocytes 0,613,0.212,93.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615,0.123,68.0,161,18,11.18,1.41 (0.92-1.89),143,88.82,3.57 (3.30-3.83)
oligodendrocytes 3,681,0.102,57.0,87,10,11.49,1.55 (0.93-2.17),77,88.51,2.73 (2.45-3.01)
oligodendrocytes 2,921,0.217,100.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
