tipo_celular,module_size,PIGF_MM,PIGF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.177,59.0,32,2,6.25,2.24 (NA-NA),30,93.75,3.78 (2.98-4.58)
T cells 18,727.0,0.14,46.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.121,60.0,136,11,8.09,3.08 (2.16-3.99),125,91.91,3.22 (2.94-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,30,8.5,2.46 (1.70-3.21),323,91.5,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,71.0,0.08,9.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.089,20.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.061,19.0,169,9,5.33,2.14 (1.25-3.04),160,94.67,3.57 (3.35-3.79)
GABA like neurons 14,3052.0,0.161,68.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60)
astrocytes 8,140.0,0.036,6.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,24,8.7,3.32 (2.54-4.10),252,91.3,3.57 (3.34-3.79)
oligodendrocytes 10,2107.0,0.14,47.0,358,20,5.59,1.47 (0.87-2.08),338,94.41,4.05 (3.87-4.24)
connective tissue cells 21,139.0,0.31,61.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.083,47.0,105,18,17.14,1.99 (1.45-2.53),87,82.86,3.49 (3.12-3.86)
oligodendrocytes 16,113.0,0.153,30.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.237,10.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.134,30.0,104,20,19.23,2.21 (1.52-2.90),84,80.77,3.02 (2.72-3.32)
oligodendrocytes 0,2078.0,0.119,60.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.103,33.0,79,8,10.13,3.26 (2.60-3.91),71,89.87,3.08 (2.64-3.53)
oligodendrocytes 3,1003.0,0.09,45.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.103,5.0,84,6,7.14,1.83 (0.73-2.93),78,92.86,2.77 (2.43-3.12)
