tipo_celular,module_size,HIPK3_MM,HIPK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.144,40.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,727.0,0.201,88.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82)
astrocytes 5,322.0,0.126,25.0,58,12,20.69,3.34 (2.38-4.30),46,79.31,4.42 (3.97-4.87)
oligodendrocyte progenitor cells 7,4285.0,0.167,91.0,353,47,13.31,2.20 (1.85-2.55),306,86.69,4.23 (4.04-4.41)
GABA neurons expressing GLU receptors 22,487.0,0.177,32.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22)
GLU like neurons 17,489.0,0.127,41.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,408.0,0.076,10.0,25,5,20.0,1.18 (0.28-2.09),20,80.0,5.76 (4.49-7.03)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.305,79.0,120,34,28.33,3.64 (3.27-4.02),86,71.67,5.03 (4.64-5.42)
oligodendrocytes 20,298.0,0.175,64.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.091,12.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577.0,0.067,35.0,83,7,8.43,2.22 (1.54-2.89),76,91.57,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.101,75.0,276,39,14.13,2.45 (2.10-2.80),237,85.87,3.78 (3.54-4.02)
oligodendrocytes 10,2107.0,0.175,61.0,358,52,14.53,2.12 (1.77-2.46),306,85.47,4.25 (4.06-4.43)
connective tissue cells 21,111.0,0.269,45.0,26,2,7.69,2.60 (2.45-2.75),24,92.31,2.52 (1.78-3.25)
astrocytes 15,1401.0,0.128,81.0,96,4,4.17,3.41 (2.38-4.45),92,95.83,3.62 (3.15-4.09)
oligodendrocytes 16,94.0,0.165,26.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.28,67.0,57,8,14.04,3.34 (2.77-3.91),49,85.96,2.52 (2.12-2.93)
astrocytes 4,171.0,0.145,31.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61)
oligodendrocytes 0,1186.0,0.147,55.0,300,19,6.33,3.88 (3.53-4.24),281,93.67,3.79 (3.57-4.00)
microglia 1,958.0,0.135,80.0,290,15,5.17,2.95 (2.18-3.73),275,94.83,3.87 (3.63-4.11)
oligodendrocytes 3,1003.0,0.091,45.0,111,1,0.9,3.05 (NA-NA),110,99.1,3.30 (2.96-3.65)
oligodendrocytes 2,921.0,0.152,74.0,200,4,2.0,2.11 (1.12-3.11),196,98.0,3.65 (3.38-3.92)
