tipo_celular,module_size,HDAC2_MM,HDAC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.283,85.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,610.0,0.132,35.0,98,41,41.84,2.01 (1.66-2.37),57,58.16,4.04 (3.73-4.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,84,23.8,2.41 (2.14-2.69),269,76.2,4.48 (4.30-4.66)
GABA neurons expressing GLU receptors 22,848.0,0.08,3.0,262,30,11.45,4.10 (3.28-4.93),232,88.55,4.17 (3.91-4.42)
GLU like neurons 17,229.0,0.317,97.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,89.0,0.29,54.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,77.0,0.096,6.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21)
endothelial cells 9,385.0,0.075,18.0,275,78,28.36,2.59 (2.27-2.90),197,71.64,4.84 (4.56-5.12)
oligodendrocytes 20,403.0,0.084,37.0,18,12,66.67,1.27 (0.69-1.85),6,33.33,3.09 (1.86-4.33)
GABA like neurons 14,3052.0,0.15,59.0,125,2,1.6,3.46 (2.90-4.02),123,98.4,3.35 (3.02-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,63,22.83,2.27 (2.02-2.51),213,77.17,4.04 (3.79-4.28)
oligodendrocytes 10,2107.0,0.123,40.0,358,105,29.33,2.44 (2.19-2.69),253,70.67,4.63 (4.45-4.81)
connective tissue cells 21,111.0,0.29,52.0,10,1,10.0,NA,9,90.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.16,28.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,518.0,0.078,14.0,122,20,16.39,3.05 (2.02-4.09),102,83.61,4.24 (3.85-4.64)
astrocytes microglia 23,115.0,0.316,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.132,40.0,127,20,15.75,2.32 (1.88-2.75),107,84.25,3.26 (2.76-3.77)
microglia 1,1615.0,0.103,39.0,161,69,42.86,2.25 (1.97-2.53),92,57.14,4.27 (3.96-4.57)
oligodendrocytes 3,743.0,0.087,58.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.121,24.0,200,8,4.0,3.14 (2.26-4.03),192,96.0,3.64 (3.37-3.92)
