tipo_celular,module_size,ACSS1_MM,ACSS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.112,16.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,393.0,0.141,42.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,117.0,0.233,78.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,200.0,0.155,38.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.04,9.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.222,96.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,17,6.16,2.19 (1.67-2.72),259,93.84,3.65 (3.43-3.88)
oligodendrocytes 10,1277.0,0.096,42.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,116.0,0.3,62.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.092,54.0,105,11,10.48,1.55 (1.07-2.03),94,89.52,3.43 (3.08-3.77)
oligodendrocytes 16,82.0,0.158,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.303,76.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,251.0,0.29,96.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,2078.0,0.128,79.0,238,4,1.68,1.82 (0.56-3.08),234,98.32,3.67 (3.45-3.89)
microglia 1,1615.0,0.111,53.0,161,19,11.8,1.24 (0.88-1.61),142,88.2,3.61 (3.35-3.87)
oligodendrocytes 3,681.0,0.073,30.0,87,12,13.79,1.42 (1.01-1.84),75,86.21,2.79 (2.50-3.07)
oligodendrocytes 2,348.0,0.175,41.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
