tipo_celular,module_size,RPS4X_MM,RPS4X_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.49,90.0,98,35,35.71,3.03 (2.41-3.64),63,64.29,3.33 (2.67-4.00)
T cells 18,506.0,0.529,96.0,225,42,18.67,3.05 (2.50-3.59),183,81.33,3.75 (3.47-4.03)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.389,96.0,108,13,12.04,4.20 (3.33-5.07),95,87.96,3.11 (2.63-3.59)
GABA neurons expressing GLU receptors 22,487.0,0.388,91.0,73,21,28.77,3.35 (2.57-4.12),52,71.23,2.50 (2.08-2.92)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.13,29.0,410,33,8.05,3.54 (3.00-4.07),377,91.95,4.31 (4.11-4.51)
GABA neurons expressing GABA receptors 13,417.0,0.147,41.0,213,49,23.0,2.63 (2.11-3.15),164,77.0,4.14 (3.90-4.38)
endothelial cells 9,916.0,0.554,96.0,302,20,6.62,3.69 (2.82-4.56),282,93.38,4.00 (3.77-4.24)
oligodendrocytes 20,938.0,0.194,79.0,169,32,18.93,3.39 (2.74-4.05),137,81.07,3.50 (3.27-3.73)
GABA like neurons 14,2402.0,0.561,93.0,455,56,12.31,2.85 (2.30-3.40),399,87.69,4.59 (4.40-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.484,99.0,235,24,10.21,3.93 (3.28-4.59),211,89.79,3.81 (3.56-4.06)
oligodendrocytes 10,483.0,0.483,96.0,129,21,16.28,4.44 (3.71-5.17),108,83.72,3.22 (2.78-3.65)
connective tissue cells 21,301.0,0.559,88.0,158,23,14.56,3.40 (2.67-4.13),135,85.44,4.46 (4.05-4.87)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,104.0,0.17,19.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,729.0,0.225,82.0,182,23,12.64,3.25 (2.49-4.01),159,87.36,3.69 (3.43-3.96)
astrocytes microglia 23,137.0,0.482,87.0,188,39,20.74,2.65 (2.13-3.18),149,79.26,4.99 (4.64-5.34)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.265,83.0,252,49,19.44,2.59 (2.08-3.11),203,80.56,4.51 (4.26-4.75)
microglia 1,406.0,0.569,96.0,278,13,4.68,4.30 (3.53-5.06),265,95.32,4.37 (4.08-4.65)
oligodendrocytes 3,303.0,0.257,89.0,154,15,9.74,4.24 (3.44-5.04),139,90.26,3.55 (3.21-3.89)
oligodendrocytes 2,526.0,0.385,81.0,213,12,5.63,4.10 (3.31-4.90),201,94.37,3.97 (3.68-4.26)
