tipo_celular,module_size,ELF1_MM,ELF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.113,16.0,102,26,25.49,2.13 (1.79-2.47),76,74.51,4.00 (3.58-4.42)
T cells 18,388.0,0.106,22.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40)
astrocytes 5,1141.0,0.146,71.0,166,32,19.28,1.99 (1.69-2.29),134,80.72,3.82 (3.55-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,48,13.6,1.89 (1.63-2.15),305,86.4,4.32 (4.14-4.49)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.242,74.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.266,82.0,141,11,7.8,2.03 (1.45-2.60),130,92.2,3.03 (2.78-3.28)
oligodendrocytes 20,221.0,0.312,82.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.091,13.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.198,79.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708.0,0.209,75.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.477,100.0,358,59,16.48,1.91 (1.68-2.14),299,83.52,4.42 (4.24-4.60)
connective tissue cells 21,147.0,0.183,25.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,261.0,0.107,25.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,108.0,0.134,17.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.251,22.0,120,12,10.0,1.39 (0.95-1.84),108,90.0,3.92 (3.64-4.20)
astrocytes 4,721.0,0.112,4.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613.0,0.15,56.0,127,13,10.24,2.06 (1.70-2.42),114,89.76,3.24 (2.77-3.72)
microglia 1,480.0,0.174,42.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.149,92.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804.0,0.143,40.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
