tipo_celular,module_size,PPIL2_MM,PPIL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.067,2.0,102,15,14.71,2.38 (1.83-2.94),87,85.29,3.70 (3.30-4.11)
T cells 18,727.0,0.182,79.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56)
astrocytes 5,1656.0,0.131,75.0,136,3,2.21,2.57 (1.80-3.35),133,97.79,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,48,13.6,2.28 (1.86-2.71),305,86.4,4.17 (3.99-4.36)
GABA neurons expressing GLU receptors 22,714.0,0.197,59.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,380.0,0.269,94.0,39,4,10.26,1.71 (NA-NA),35,89.74,3.00 (2.44-3.56)
da like neurons 11,853.0,0.113,36.0,133,17,12.78,1.62 (1.07-2.17),116,87.22,3.54 (3.22-3.87)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.053,20.0,18,11,61.11,1.09 (0.59-1.60),7,38.89,3.11 (2.07-4.15)
GABA like neurons 14,2090.0,0.144,43.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.085,54.0,66,15,22.73,1.70 (1.12-2.29),51,77.27,3.77 (3.35-4.19)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,32,11.59,2.46 (1.96-2.95),244,88.41,3.69 (3.46-3.93)
oligodendrocytes 10,2107.0,0.04,3.0,358,46,12.85,2.29 (1.85-2.74),312,87.15,4.13 (3.94-4.32)
connective tissue cells 21,96.0,0.367,87.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.076,42.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09)
oligodendrocytes 16,88.0,0.302,96.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.389,84.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,1807.0,0.139,39.0,104,26,25.0,2.08 (1.68-2.49),78,75.0,3.15 (2.82-3.48)
oligodendrocytes 0,2078.0,0.112,46.0,238,17,7.14,3.22 (2.49-3.95),221,92.86,3.66 (3.43-3.89)
microglia 1,1615.0,0.071,4.0,161,39,24.22,2.11 (1.62-2.60),122,75.78,3.66 (3.38-3.94)
oligodendrocytes 3,187.0,0.056,11.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.164,89.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
