tipo_celular,module_size,CCDC92_MM,CCDC92_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.244,63.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727,0.099,17.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932,0.123,71.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.133,48.0,353,18,5.1,1.69 (1.06-2.31),335,94.9,4.03 (3.84-4.21)
GABA neurons expressing GLU receptors 22,1069,0.17,54.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795,0.107,35.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15)
da like neurons 11,265,0.142,30.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,266,0.222,78.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,586,0.108,21.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250,0.174,49.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300,0.202,48.0,306,2,0.65,3.12 (0.82-5.42),304,99.35,5.11 (4.85-5.38)
astrocytes 8,260,0.148,62.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303,0.188,100.0,276,14,5.07,2.26 (1.59-2.93),262,94.93,3.61 (3.39-3.84)
oligodendrocytes 10,806,0.153,48.0,261,2,0.77,4.43 (4.17-4.69),259,99.23,4.36 (4.12-4.61)
connective tissue cells 21,106,0.202,10.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1401,0.088,52.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,69,0.224,67.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.147,63.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,255,0.177,6.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01)
astrocytes 4,201,0.155,35.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,1186,0.104,6.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,1615,0.091,24.0,161,14,8.7,1.48 (0.86-2.10),147,91.3,3.47 (3.20-3.74)
oligodendrocytes 3,187,0.078,32.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,407,0.139,31.0,122,15,12.3,1.49 (0.96-2.03),107,87.7,3.67 (3.27-4.08)
