tipo_celular,module_size,ANO5_MM,ANO5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.123,37.0,166,1,0.6,0.21 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,6,1.7,2.16 (1.09-3.23),347,98.3,3.93 (3.74-4.11)
GABA neurons expressing GLU receptors 22,823.0,0.202,66.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,300.0,0.201,63.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,102.0,0.11,15.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,101.0,0.148,34.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.125,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.078,46.0,66,4,6.06,1.42 (0.62-2.22),62,93.94,3.36 (2.94-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,4,1.45,2.55 (1.57-3.53),272,98.55,3.56 (3.34-3.78)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.23,91.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.073,15.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,115.0,0.33,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.156,59.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
