tipo_celular,module_size,C1D_MM,C1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.114,47.0,136,8,5.88,2.01 (1.31-2.72),128,94.12,3.29 (3.01-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,43,12.18,1.76 (1.46-2.06),310,87.82,4.29 (4.12-4.46)
GABA neurons expressing GLU receptors 22,714.0,0.163,40.0,17,7,41.18,3.06 (2.47-3.64),10,58.82,1.78 (1.02-2.55)
GLU like neurons 17,1247.0,0.065,7.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,102.0,0.087,7.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.052,1.0,302,5,1.66,4.23 (1.56-6.90),297,98.34,3.97 (3.75-4.20)
oligodendrocytes 20,938.0,0.04,8.0,169,8,4.73,2.69 (1.21-4.18),161,95.27,3.53 (3.31-3.74)
GABA like neurons 14,2402.0,0.117,14.0,455,30,6.59,2.22 (1.57-2.87),425,93.41,4.56 (4.38-4.73)
astrocytes 8,603.0,0.061,36.0,89,10,11.24,1.67 (1.03-2.32),79,88.76,2.96 (2.58-3.34)
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,36,13.04,1.81 (1.57-2.05),240,86.96,3.90 (3.68-4.12)
oligodendrocytes 10,735.0,0.109,58.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,82.0,0.321,77.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,443.0,0.049,5.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,105.0,0.254,71.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.359,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.12,12.0,104,28,26.92,1.69 (1.38-2.00),76,73.08,3.35 (3.04-3.66)
oligodendrocytes 0,2078.0,0.078,3.0,238,5,2.1,1.82 (0.92-2.73),233,97.9,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.062,17.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.13,27.0,154,5,3.25,4.97 (4.00-5.94),149,96.75,3.18 (2.91-3.45)
