tipo_celular,module_size,USP4_MM,USP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.142,39.0,71,9,12.68,2.35 (1.43-3.27),62,87.32,2.67 (2.21-3.13)
T cells 18,727.0,0.171,71.0,49,6,12.24,3.98 (3.02-4.93),43,87.76,2.19 (1.81-2.57)
astrocytes 5,932.0,0.116,61.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,59,16.71,2.39 (2.06-2.73),294,83.29,4.29 (4.10-4.47)
GABA neurons expressing GLU receptors 22,400.0,0.135,15.0,24,13,54.17,1.84 (1.08-2.61),11,45.83,2.52 (1.91-3.14)
GLU like neurons 17,1247.0,0.198,82.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,853.0,0.137,55.0,133,34,25.56,2.05 (1.68-2.42),99,74.44,3.77 (3.41-4.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.085,17.0,297,8,2.69,4.16 (3.07-5.25),289,97.31,3.66 (3.46-3.87)
oligodendrocytes 20,322.0,0.136,57.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.171,62.0,74,7,9.46,1.96 (1.66-2.26),67,90.54,3.06 (2.65-3.47)
astrocytes 8,354.0,0.101,38.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,411.0,0.051,24.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107.0,0.131,44.0,358,63,17.6,2.37 (2.01-2.74),295,82.4,4.30 (4.11-4.48)
connective tissue cells 21,92.0,0.4,92.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.128,32.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,155.0,0.24,65.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.225,8.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,721.0,0.155,56.0,61,6,9.84,2.60 (2.06-3.15),55,90.16,3.01 (2.55-3.46)
oligodendrocytes 0,2078.0,0.109,40.0,238,20,8.4,3.46 (2.68-4.24),218,91.6,3.65 (3.42-3.88)
microglia 1,480.0,0.099,5.0,163,13,7.98,3.43 (2.95-3.91),150,92.02,3.74 (3.45-4.02)
oligodendrocytes 3,357.0,0.122,68.0,127,6,4.72,3.27 (2.90-3.65),121,95.28,3.11 (2.76-3.46)
oligodendrocytes 2,407.0,0.139,31.0,122,36,29.51,2.22 (1.71-2.74),86,70.49,4.00 (3.54-4.46)
