tipo_celular,module_size,PTPDC1_MM,PTPDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,23,6.52,1.80 (1.33-2.27),330,93.48,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.202,65.0,23,1,4.35,3.22 (NA-NA),22,95.65,2.35 (1.59-3.11)
GLU like neurons 17,1316.0,0.099,27.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42)
da like neurons 11,145.0,0.149,28.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.167,33.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.16,67.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.066,21.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.126,62.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.318,75.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.192,50.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.359,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.145,43.0,40,2,5.0,4.12 (4.12-4.12),38,95.0,5.98 (5.45-6.50)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.143,79.0,15,7,46.67,1.42 (0.53-2.32),8,53.33,5.52 (4.23-6.80)
oligodendrocytes 2,804.0,0.125,18.0,84,8,9.52,2.05 (1.24-2.86),76,90.48,2.77 (2.41-3.14)
