tipo_celular,module_size,DCAF1_MM,DCAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.081,4.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,393.0,0.136,39.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,77,21.81,2.54 (2.27-2.81),276,78.19,4.42 (4.23-4.61)
GABA neurons expressing GLU receptors 22,714.0,0.134,21.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,1247.0,0.217,88.0,51,2,3.92,3.92 (3.64-4.20),49,96.08,3.61 (3.00-4.22)
da like neurons 11,853.0,0.104,30.0,133,58,43.61,2.55 (2.22-2.88),75,56.39,3.99 (3.52-4.46)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.061,3.0,120,13,10.83,3.59 (3.23-3.96),107,89.17,4.75 (4.40-5.10)
oligodendrocytes 20,275.0,0.03,4.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.107,17.0,74,16,21.62,2.37 (2.04-2.69),58,78.38,3.12 (2.65-3.59)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,65,23.55,2.54 (2.27-2.80),211,76.45,3.99 (3.73-4.25)
oligodendrocytes 10,2107.0,0.118,38.0,358,93,25.98,2.63 (2.35-2.91),265,74.02,4.49 (4.29-4.68)
connective tissue cells 21,142.0,0.34,64.0,55,9,16.36,1.88 (0.87-2.88),46,83.64,4.15 (3.15-5.14)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.378,99.0,8,3,37.5,0.47 (0.34-0.61),5,62.5,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.388,89.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.116,53.0,238,26,10.92,3.02 (2.62-3.41),212,89.08,3.73 (3.48-3.97)
microglia 1,813.0,0.091,17.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,681.0,0.042,4.0,87,64,73.56,2.50 (2.22-2.79),23,26.44,2.84 (2.16-3.51)
oligodendrocytes 2,1630.0,0.147,61.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
