tipo_celular,module_size,SUN1_MM,SUN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.127,24.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.168,41.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1141.0,0.112,24.0,166,5,3.01,0.86 (0.30-1.42),161,96.99,3.49 (3.24-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,28,7.93,1.99 (1.48-2.50),325,92.07,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.242,91.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.104,33.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,853.0,0.1,28.0,133,12,9.02,1.74 (0.95-2.53),121,90.98,3.43 (3.11-3.75)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.097,24.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.104,40.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.161,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.127,44.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,51.0,276,15,5.43,2.37 (1.64-3.10),261,94.57,3.61 (3.39-3.84)
oligodendrocytes 10,1277.0,0.079,30.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.24,30.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1401.0,0.142,87.0,96,4,4.17,2.65 (1.59-3.70),92,95.83,3.65 (3.19-4.11)
oligodendrocytes 16,85.0,0.219,50.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.242,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.128,16.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,2078.0,0.125,73.0,238,5,2.1,2.83 (0.03-5.63),233,97.9,3.65 (3.43-3.87)
microglia 1,958.0,0.086,13.0,290,8,2.76,2.93 (2.15-3.70),282,97.24,3.84 (3.61-4.08)
oligodendrocytes 3,681.0,0.063,18.0,87,9,10.34,1.66 (0.80-2.52),78,89.66,2.70 (2.42-2.98)
oligodendrocytes 2,921.0,0.147,68.0,200,7,3.5,2.85 (1.81-3.90),193,96.5,3.65 (3.37-3.92)
