tipo_celular,module_size,SFXN5_MM,SFXN5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.217,55.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.155,28.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,200.0,0.313,88.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,599.0,0.158,25.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.095,22.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,102.0,0.285,60.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.125,47.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.289,89.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.205,81.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,279.0,0.324,76.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,6,2.17,1.74 (1.27-2.22),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.098,44.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.19,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.33,75.0,54,3,5.56,2.84 (1.96-3.73),51,94.44,3.74 (3.28-4.20)
oligodendrocytes 16,112.0,0.244,89.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.318,62.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,251.0,0.264,92.0,34,2,5.88,5.16 (5.16-5.16),32,94.12,5.26 (4.59-5.92)
oligodendrocytes 0,2078.0,0.1,22.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,1615.0,0.105,43.0,161,10,6.21,0.76 (0.37-1.15),151,93.79,3.48 (3.22-3.74)
oligodendrocytes 3,94.0,0.16,76.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,407.0,0.133,25.0,122,7,5.74,0.66 (0.23-1.09),115,94.26,3.54 (3.16-3.92)
