tipo_celular,module_size,KIAA1217_MM,KIAA1217_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.225,59.0,98,2,2.04,3.40 (1.50-5.30),96,97.96,4.63 (4.22-5.04)
oligodendrocyte progenitor cells 7,200.0,0.066,5.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,823.0,0.444,100.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.266,96.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,82.0,0.25,47.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,65.0,0.152,46.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,1653.0,0.177,82.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.184,39.0,306,7,2.29,3.21 (2.51-3.91),299,97.71,5.16 (4.89-5.43)
astrocytes 8,1266.0,0.258,98.0,66,10,15.15,2.18 (0.98-3.38),56,84.85,3.40 (2.96-3.83)
oligodendrocyte progenitor cells 12,254.0,0.355,70.0,37,4,10.81,3.45 (2.71-4.20),33,89.19,4.65 (4.01-5.29)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.39,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.43,85.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.198,15.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,514.0,0.243,74.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
