tipo_celular,module_size,SDHB_MM,SDHB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.225,60.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,610,0.085,7.0,98,18,18.37,1.40 (0.93-1.87),80,81.63,3.56 (3.26-3.86)
astrocytes 5,932,0.108,48.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,24,6.8,1.47 (1.09-1.85),329,93.2,4.12 (3.95-4.30)
GABA neurons expressing GLU receptors 22,567,0.195,52.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,489,0.147,56.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,200,0.098,11.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,65,0.166,52.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385,0.064,9.0,275,19,6.91,1.41 (0.98-1.85),256,93.09,4.23 (3.98-4.49)
oligodendrocytes 20,358,0.295,90.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.133,35.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,1266,0.075,43.0,66,12,18.18,1.47 (0.81-2.13),54,81.82,3.69 (3.29-4.10)
oligodendrocyte progenitor cells 12,1049,0.032,3.0,235,41,17.45,3.84 (3.60-4.08),194,82.55,3.82 (3.53-4.11)
oligodendrocytes 10,483,0.037,5.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,112,0.29,77.0,7,1,14.29,2.14 (NA-NA),6,85.71,1.92 (1.00-2.84)
astrocytes 15,443,0.15,48.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,85,0.233,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.062,5.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,124,0.282,32.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,787,0.142,33.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.082,5.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89)
microglia 1,958,0.078,6.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,639,0.041,3.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,1630,0.144,55.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
