tipo_celular,module_size,CCNK_MM,CCNK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.311,89.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,518.0,0.164,58.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,73,20.68,2.53 (2.22-2.83),280,79.32,4.36 (4.17-4.55)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.08,8.0,141,9,6.38,2.27 (1.48-3.06),132,93.62,3.01 (2.76-3.26)
oligodendrocytes 20,938.0,0.06,18.0,169,6,3.55,1.60 (0.30-2.90),163,96.45,3.55 (3.34-3.77)
GABA like neurons 14,3052.0,0.106,22.0,125,7,5.6,3.72 (3.14-4.30),118,94.4,3.33 (2.99-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,61,22.1,2.49 (2.23-2.75),215,77.9,3.97 (3.71-4.23)
oligodendrocytes 10,2107.0,0.077,16.0,358,84,23.46,2.44 (2.17-2.71),274,76.54,4.47 (4.27-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.207,52.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.374,85.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.104,29.0,238,26,10.92,2.95 (2.55-3.36),212,89.08,3.73 (3.49-3.97)
microglia 1,958.0,0.119,62.0,290,14,4.83,2.79 (1.98-3.61),276,95.17,3.88 (3.64-4.12)
oligodendrocytes 3,743.0,0.06,18.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.145,57.0,154,6,3.9,4.12 (3.43-4.81),148,96.1,3.21 (2.94-3.48)
