tipo_celular,module_size,HTATSF1_MM,HTATSF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.3,96.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,80.0,0.168,49.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,338.0,0.08,19.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,358.0,0.17,58.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,2402.0,0.247,55.0,455,46,10.11,2.58 (2.15-3.01),409,89.89,4.63 (4.45-4.82)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.169,54.0,261,3,1.15,2.70 (1.98-3.42),258,98.85,4.39 (4.15-4.63)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,65.0,0.249,72.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.134,42.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,118.0,0.284,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.116,53.0,238,10,4.2,3.05 (1.85-4.25),228,95.8,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.052,8.0,345,14,4.06,3.15 (2.64-3.67),331,95.94,4.34 (4.13-4.56)
oligodendrocytes 2,528.0,0.177,34.0,175,1,0.57,5.39 (NA-NA),174,99.43,4.37 (4.02-4.72)
