tipo_celular,module_size,EAPP_MM,EAPP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.095,11.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,423.0,0.089,7.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.09,5.0,353,58,16.43,2.37 (2.04-2.69),295,83.57,4.28 (4.10-4.47)
GABA neurons expressing GLU receptors 22,703.0,0.101,9.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,795.0,0.078,14.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,94.0,0.06,4.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.053,2.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,676.0,0.048,21.0,110,6,5.45,1.31 (0.80-1.82),104,94.55,5.24 (4.83-5.66)
GABA like neurons 14,2090.0,0.137,38.0,74,15,20.27,2.22 (1.97-2.48),59,79.73,3.12 (2.67-3.58)
astrocytes 8,577.0,0.059,26.0,83,4,4.82,1.55 (0.88-2.21),79,95.18,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,1049.0,0.044,11.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.044,9.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,111.0,0.36,83.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,1401.0,0.054,20.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15)
oligodendrocytes 16,96.0,0.168,16.0,102,10,9.8,1.42 (1.00-1.84),92,90.2,3.61 (3.28-3.94)
da neurons 6,409.0,0.086,22.0,235,5,2.13,1.73 (1.05-2.41),230,97.87,4.04 (3.79-4.29)
astrocytes microglia 23,57.0,0.305,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.148,26.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.105,31.0,238,20,8.4,3.03 (2.51-3.54),218,91.6,3.70 (3.47-3.94)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.05,8.0,127,1,0.79,NA,126,99.21,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.156,78.0,154,5,3.25,4.12 (3.43-4.81),149,96.75,3.21 (2.94-3.48)
