tipo_celular,module_size,FGF12_MM,FGF12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.166,44.0,266,22,8.27,2.71 (2.11-3.31),244,91.73,4.29 (4.08-4.50)
oligodendrocyte progenitor cells 7,436.0,0.202,83.0,219,23,10.5,4.32 (3.77-4.87),196,89.5,5.34 (5.03-5.66)
GABA neurons expressing GLU receptors 22,714.0,0.309,93.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,795.0,0.227,82.0,80,4,5.0,5.54 (3.71-7.37),76,95.0,5.69 (5.26-6.12)
da like neurons 11,191.0,0.521,95.0,93,11,11.83,4.10 (3.79-4.41),82,88.17,5.94 (5.50-6.37)
GABA neurons expressing GABA receptors 13,238.0,0.218,73.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338.0,0.133,50.0,191,7,3.66,3.60 (3.09-4.11),184,96.34,3.90 (3.67-4.13)
oligodendrocytes 20,403.0,0.071,32.0,18,6,33.33,0.66 (0.40-0.92),12,66.67,2.48 (1.67-3.30)
GABA like neurons 14,1300.0,0.259,74.0,306,46,15.03,3.88 (3.29-4.48),260,84.97,5.42 (5.15-5.70)
astrocytes 8,520.0,0.152,61.0,288,8,2.78,2.99 (2.07-3.91),280,97.22,4.22 (4.01-4.42)
oligodendrocyte progenitor cells 12,411.0,0.285,71.0,103,8,7.77,4.43 (3.34-5.52),95,92.23,5.62 (5.22-6.02)
oligodendrocytes 10,806.0,0.272,75.0,261,5,1.92,2.98 (1.82-4.15),256,98.08,4.40 (4.16-4.65)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.431,99.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,149.0,0.393,90.0,70,1,1.43,4.35 (NA-NA),69,98.57,5.68 (5.20-6.16)
da neurons 6,228.0,0.185,88.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,63.0,0.348,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157.0,0.154,32.0,178,12,6.74,2.05 (1.16-2.94),166,93.26,4.35 (4.10-4.61)
oligodendrocytes 0,309.0,0.147,65.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.179,75.0,345,10,2.9,3.27 (2.65-3.89),335,97.1,4.32 (4.10-4.53)
oligodendrocytes 2,99.0,0.164,23.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
