tipo_celular,module_size,ATF2_MM,ATF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.177,33.0,21,14,66.67,1.71 (1.09-2.33),7,33.33,3.68 (2.93-4.43)
T cells 18,282,0.123,31.0,241,10,4.15,3.74 (3.07-4.41),231,95.85,4.07 (3.81-4.34)
astrocytes 5,1141,0.148,73.0,166,57,34.34,2.57 (2.29-2.84),109,65.66,3.96 (3.63-4.29)
oligodendrocyte progenitor cells 7,4285,0.174,95.0,353,92,26.06,2.45 (2.20-2.70),261,73.94,4.60 (4.43-4.78)
GABA neurons expressing GLU receptors 22,703,0.186,50.0,23,4,17.39,2.17 (1.32-3.02),19,82.61,2.07 (1.22-2.93)
GLU like neurons 17,229,0.206,55.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,132,0.4,84.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,75,0.136,32.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653,0.14,59.0,297,25,8.42,3.70 (3.33-4.07),272,91.58,3.67 (3.45-3.89)
oligodendrocytes 20,676,0.046,18.0,110,13,11.82,2.76 (1.85-3.66),97,88.18,5.44 (5.01-5.87)
GABA like neurons 14,3052,0.135,46.0,125,10,8.0,3.52 (3.23-3.82),115,92.0,3.34 (2.99-3.69)
astrocytes 8,727,0.04,4.0,29,5,17.24,3.43 (2.57-4.30),24,82.76,2.11 (1.58-2.64)
oligodendrocyte progenitor cells 12,3303,0.104,78.0,276,70,25.36,2.27 (2.06-2.48),206,74.64,4.14 (3.89-4.39)
oligodendrocytes 10,2107,0.085,20.0,358,111,31.01,2.57 (2.32-2.81),247,68.99,4.71 (4.53-4.89)
connective tissue cells 21,90,0.304,59.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,338,0.154,53.0,14,1,7.14,NA,13,92.86,1.77 (1.03-2.51)
oligodendrocytes 16,151,0.139,14.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553,0.139,57.0,124,8,6.45,2.91 (1.82-3.99),116,93.55,4.29 (3.88-4.70)
astrocytes microglia 23,63,0.225,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.142,32.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.148,56.0,300,30,10.0,3.52 (3.19-3.85),270,90.0,3.82 (3.60-4.05)
microglia 1,813,0.129,63.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,854,0.107,68.0,76,6,7.89,2.57 (0.86-4.28),70,92.11,2.80 (2.47-3.13)
oligodendrocytes 2,921,0.143,62.0,200,10,5.0,2.68 (2.03-3.33),190,95.0,3.68 (3.40-3.95)
