tipo_celular,module_size,COL4A3_MM,COL4A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.111,23.0,166,9,5.42,1.89 (1.13-2.65),157,94.58,3.50 (3.24-3.75)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,18,5.1,1.36 (0.93-1.78),335,94.9,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.541,92.0,62,4,6.45,4.21 (2.79-5.63),58,93.55,4.03 (3.56-4.51)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,218.0,0.039,11.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,9,3.26,1.59 (1.10-2.08),267,96.74,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.34,76.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.052,18.0,96,3,3.12,4.70 (4.07-5.33),93,96.88,3.57 (3.11-4.03)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.439,95.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,201.0,0.241,85.0,18,2,11.11,2.99 (1.89-4.09),16,88.89,4.76 (3.81-5.71)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
