tipo_celular,module_size,ANXA5_MM,ANXA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.259,78.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518.0,0.138,37.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.129,71.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,628.0,0.192,65.0,164,4,2.44,3.49 (2.04-4.94),160,97.56,4.11 (3.77-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.18,71.0,135,20,14.81,3.23 (2.27-4.19),115,85.19,3.18 (2.86-3.51)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.284,80.0,155,3,1.94,4.44 (4.44-4.44),152,98.06,4.33 (3.96-4.71)
oligodendrocytes 20,938.0,0.175,72.0,169,14,8.28,3.26 (1.98-4.54),155,91.72,3.49 (3.27-3.72)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.085,34.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049.0,0.1,55.0,235,9,3.83,3.43 (2.30-4.57),226,96.17,3.83 (3.60-4.07)
oligodendrocytes 10,483.0,0.215,74.0,129,5,3.88,4.31 (3.88-4.73),124,96.12,3.40 (3.00-3.80)
connective tissue cells 21,301.0,0.388,55.0,158,13,8.23,4.20 (3.47-4.93),145,91.77,4.26 (3.85-4.66)
astrocytes 15,443.0,0.172,65.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,88.0,0.266,88.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.324,47.0,120,31,25.83,2.88 (2.25-3.51),89,74.17,3.86 (3.54-4.19)
astrocytes 4,1807.0,0.131,26.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,613.0,0.16,67.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,480.0,0.213,61.0,163,7,4.29,2.81 (1.85-3.76),156,95.71,3.74 (3.47-4.01)
oligodendrocytes 3,303.0,0.085,25.0,154,2,1.3,4.70 (NA-NA),152,98.7,3.61 (3.29-3.93)
oligodendrocytes 2,528.0,0.319,88.0,175,16,9.14,3.93 (3.30-4.57),159,90.86,4.42 (4.04-4.80)
