tipo_celular,module_size,PER1_MM,PER1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.269,77.0,102,44,43.14,2.56 (2.20-2.91),58,56.86,4.16 (3.66-4.66)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.382,98.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83)
oligodendrocyte progenitor cells 7,666.0,0.341,93.0,127,27,21.26,2.68 (2.18-3.19),100,78.74,4.18 (3.81-4.56)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.188,53.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,295.0,0.228,66.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.351,99.0,83,13,15.66,3.83 (2.06-5.60),70,84.34,3.18 (2.72-3.64)
oligodendrocyte progenitor cells 12,3303.0,0.054,19.0,276,51,18.48,2.15 (1.90-2.40),225,81.52,3.95 (3.72-4.19)
oligodendrocytes 10,2107.0,0.084,20.0,358,80,22.35,2.43 (2.12-2.74),278,77.65,4.44 (4.25-4.62)
connective tissue cells 21,86.0,0.335,83.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,1768.0,0.076,39.0,105,21,20.0,1.73 (1.29-2.16),84,80.0,3.62 (3.26-3.98)
oligodendrocytes 16,74.0,0.242,84.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.44,83.0,120,40,33.33,2.82 (2.30-3.34),80,66.67,4.10 (3.80-4.41)
astrocytes 4,514.0,0.447,97.0,95,8,8.42,2.23 (0.36-4.10),87,91.58,3.47 (3.05-3.89)
oligodendrocytes 0,2078.0,0.127,77.0,238,19,7.98,2.72 (2.24-3.20),219,92.02,3.73 (3.49-3.96)
microglia 1,480.0,0.302,85.0,163,12,7.36,3.60 (2.36-4.85),151,92.64,3.72 (3.44-3.99)
oligodendrocytes 3,681.0,0.054,11.0,87,56,64.37,2.52 (2.21-2.83),31,35.63,2.71 (2.18-3.25)
oligodendrocytes 2,1630.0,0.152,72.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52)
