tipo_celular,module_size,JPH4_MM,JPH4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.092,5.0,353,18,5.1,1.49 (0.99-1.99),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,487.0,0.268,69.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1247.0,0.178,76.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22)
da like neurons 11,853.0,0.169,72.0,133,9,6.77,1.84 (0.46-3.21),124,93.23,3.38 (3.07-3.69)
GABA neurons expressing GABA receptors 13,200.0,0.17,62.0,34,2,5.88,5.04 (1.84-8.24),32,94.12,3.78 (2.86-4.70)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.279,81.0,306,40,13.07,3.47 (3.01-3.94),266,86.93,5.48 (5.21-5.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.055,27.0,103,6,5.83,4.82 (4.58-5.06),97,94.17,5.61 (5.19-6.02)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.1,28.0,124,3,2.42,3.67 (0.11-7.23),121,97.58,4.20 (3.81-4.59)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
