tipo_celular,module_size,MAPK8IP2_MM,MAPK8IP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.225,55.0,73,2,2.74,3.10 (2.84-3.35),71,97.26,2.74 (2.35-3.14)
GLU like neurons 17,1247.0,0.145,59.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22)
da like neurons 11,1220.0,0.181,50.0,410,18,4.39,3.39 (2.65-4.14),392,95.61,4.29 (4.10-4.49)
GABA neurons expressing GABA receptors 13,266.0,0.136,35.0,118,7,5.93,4.56 (3.72-5.40),111,94.07,4.75 (4.37-5.12)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.224,49.0,455,11,2.42,2.16 (1.26-3.05),444,97.58,4.41 (4.22-4.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.192,82.0,124,3,2.42,3.94 (NA-NA),121,97.58,4.19 (3.79-4.58)
astrocytes microglia 23,118.0,0.34,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
