tipo_celular,module_size,LRPAP1_MM,LRPAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.246,74.0,21,8,38.1,1.12 (0.45-1.80),13,61.9,3.08 (2.45-3.72)
T cells 18,393.0,0.144,45.0,59,2,3.39,3.03 (2.46-3.59),57,96.61,3.11 (2.59-3.63)
astrocytes 5,328.0,0.154,46.0,128,4,3.12,3.48 (1.91-5.05),124,96.88,3.57 (3.22-3.92)
oligodendrocyte progenitor cells 7,628.0,0.257,83.0,164,10,6.1,3.96 (2.61-5.30),154,93.9,4.09 (3.76-4.43)
GABA neurons expressing GLU receptors 22,203.0,0.4,92.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.233,66.0,410,16,3.9,3.14 (2.36-3.92),394,96.1,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,265.0,0.192,68.0,78,12,15.38,3.26 (2.69-3.84),66,84.62,4.63 (4.16-5.10)
endothelial cells 9,916.0,0.262,64.0,302,9,2.98,2.92 (1.48-4.36),293,97.02,4.02 (3.79-4.25)
oligodendrocytes 20,938.0,0.14,57.0,169,11,6.51,2.54 (1.72-3.35),158,93.49,3.55 (3.33-3.78)
GABA like neurons 14,2402.0,0.537,91.0,455,22,4.84,2.27 (1.62-2.92),433,95.16,4.48 (4.29-4.66)
astrocytes 8,603.0,0.092,60.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.135,71.0,235,8,3.4,3.29 (2.54-4.03),227,96.6,3.84 (3.61-4.08)
oligodendrocytes 10,735.0,0.212,91.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,111.0,0.307,60.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,1768.0,0.063,26.0,105,12,11.43,2.03 (1.50-2.56),93,88.57,3.38 (3.02-3.74)
oligodendrocytes 16,75.0,0.386,99.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.166,68.0,235,4,1.7,2.71 (1.89-3.53),231,98.3,4.01 (3.75-4.26)
astrocytes microglia 23,121.0,0.339,70.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.123,15.0,104,12,11.54,2.13 (1.41-2.86),92,88.46,2.96 (2.66-3.26)
oligodendrocytes 0,546.0,0.187,60.0,252,25,9.92,2.34 (1.75-2.93),227,90.08,4.34 (4.09-4.59)
microglia 1,406.0,0.136,30.0,278,6,2.16,4.74 (2.90-6.58),272,97.84,4.35 (4.08-4.63)
oligodendrocytes 3,303.0,0.102,32.0,154,1,0.65,7.00 (NA-NA),153,99.35,3.59 (3.28-3.91)
oligodendrocytes 2,526.0,0.261,50.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
