tipo_celular,module_size,ZNF608_MM,ZNF608_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.133,31.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,448.0,0.148,55.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459.0,0.091,15.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.231,62.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.104,30.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.175,44.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44)
GABA like neurons 14,3052.0,0.15,60.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.139,68.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,103.0,0.46,57.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,1277.0,0.249,98.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.118,75.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,199.0,0.208,77.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.159,1.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,752.0,0.136,26.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70)
oligodendrocytes 0,479.0,0.15,48.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.159,87.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.159,57.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
