tipo_celular,module_size,TDG_MM,TDG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.279,85.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,477.0,0.102,10.0,43,3,6.98,3.39 (3.06-3.72),40,93.02,1.95 (1.43-2.47)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,53,15.01,2.21 (1.86-2.57),300,84.99,4.27 (4.09-4.45)
GABA neurons expressing GLU receptors 22,1069.0,0.173,55.0,37,1,2.7,1.52 (NA-NA),36,97.3,2.18 (1.71-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.103,36.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.06,7.0,275,33,12.0,1.79 (1.42-2.15),242,88.0,4.41 (4.15-4.66)
oligodendrocytes 20,233.0,0.375,91.0,5,1,20.0,NA,4,80.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.15,25.0,455,28,6.15,2.06 (1.57-2.55),427,93.85,4.56 (4.37-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.086,46.0,235,3,1.28,3.03 (1.33-4.73),232,98.72,3.84 (3.60-4.07)
oligodendrocytes 10,2107.0,0.18,62.0,358,49,13.69,1.99 (1.62-2.37),309,86.31,4.25 (4.07-4.43)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,104.0,0.295,96.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.34,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.085,6.0,238,16,6.72,3.05 (2.32-3.78),222,93.28,3.68 (3.45-3.91)
microglia 1,958.0,0.084,11.0,290,12,4.14,2.54 (1.54-3.53),278,95.86,3.87 (3.64-4.10)
oligodendrocytes 3,743.0,0.065,24.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.12,14.0,154,2,1.3,3.22 (NA-NA),152,98.7,3.24 (2.98-3.51)
