tipo_celular,module_size,RBMS3_MM,RBMS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.123,36.0,166,21,12.65,2.28 (1.71-2.85),145,87.35,3.58 (3.32-3.84)
oligodendrocyte progenitor cells 7,4285.0,0.142,60.0,353,33,9.35,1.80 (1.39-2.20),320,90.65,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,823.0,0.149,31.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,489.0,0.133,47.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,289.0,0.248,76.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.254,99.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.189,83.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.201,74.0,32,8,25.0,1.36 (0.44-2.29),24,75.0,4.00 (3.12-4.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.28,62.0,19,4,21.05,3.26 (2.78-3.73),15,78.95,5.40 (4.68-6.13)
astrocytes 15,1768.0,0.078,42.0,105,15,14.29,1.43 (0.98-1.88),90,85.71,3.51 (3.17-3.86)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.254,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.163,50.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
