tipo_celular,module_size,OXNAD1_MM,OXNAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.194,65.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,388.0,0.447,100.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.109,39.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.177,97.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,714.0,0.201,61.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380.0,0.115,12.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,289.0,0.255,78.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.131,53.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,271.0,0.272,82.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.089,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.162,72.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.176,61.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,57.0,0.359,77.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.11,71.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,87.0,0.35,100.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.245,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.172,84.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.117,55.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.106,37.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.106,60.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,1630.0,0.125,19.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
