tipo_celular,module_size,FADS1_MM,FADS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.07,2.0,136,9,6.62,2.79 (2.03-3.56),127,93.38,3.24 (2.96-3.53)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,37,10.48,1.89 (1.50-2.28),316,89.52,4.20 (4.03-4.38)
GABA neurons expressing GLU receptors 22,823.0,0.109,11.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.092,18.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.213,74.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.148,58.0,125,1,0.8,5.72 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,771.0,0.051,13.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.078,30.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89)
oligodendrocytes 10,483.0,0.066,20.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,103.0,0.317,71.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401.0,0.069,34.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,90.0,0.188,33.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.337,69.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,787.0,0.139,29.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.137,91.0,238,10,4.2,2.43 (1.59-3.28),228,95.8,3.70 (3.47-3.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.117,84.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,528.0,0.146,17.0,175,7,4.0,3.35 (2.54-4.16),168,96.0,4.43 (4.07-4.80)
