tipo_celular,module_size,RPL18_MM,RPL18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.405,79.0,98,24,24.49,2.56 (2.00-3.12),74,75.51,3.50 (2.88-4.12)
T cells 18,506,0.577,97.0,225,26,11.56,2.71 (2.16-3.25),199,88.44,3.76 (3.49-4.03)
astrocytes 5,328,0.198,65.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93)
oligodendrocyte progenitor cells 7,628,0.276,87.0,164,2,1.22,2.52 (0.11-4.92),162,98.78,4.11 (3.78-4.44)
GABA neurons expressing GLU receptors 22,848,0.219,54.0,262,12,4.58,2.03 (1.15-2.91),250,95.42,4.28 (4.03-4.52)
GLU like neurons 17,685,0.233,82.0,135,29,21.48,2.23 (1.77-2.70),106,78.52,3.47 (3.12-3.82)
da like neurons 11,1220,0.247,70.0,410,18,4.39,2.90 (2.28-3.52),392,95.61,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,417,0.236,86.0,213,34,15.96,2.13 (1.62-2.64),179,84.04,4.14 (3.91-4.38)
endothelial cells 9,916,0.606,98.0,302,14,4.64,3.11 (2.25-3.98),288,95.36,4.03 (3.79-4.26)
oligodendrocytes 20,938,0.302,95.0,169,20,11.83,2.95 (2.28-3.61),149,88.17,3.55 (3.32-3.79)
GABA like neurons 14,2402,0.631,97.0,455,37,8.13,2.07 (1.62-2.52),418,91.87,4.61 (4.43-4.78)
astrocytes 8,603,0.248,94.0,89,19,21.35,2.52 (1.89-3.16),70,78.65,2.85 (2.43-3.27)
oligodendrocyte progenitor cells 12,1049,0.401,96.0,235,13,5.53,3.37 (2.79-3.95),222,94.47,3.86 (3.61-4.10)
oligodendrocytes 10,483,0.517,97.0,129,12,9.3,3.70 (3.13-4.26),117,90.7,3.40 (2.98-3.83)
connective tissue cells 21,301,0.645,97.0,158,16,10.13,2.62 (1.97-3.28),142,89.87,4.52 (4.13-4.91)
astrocytes 15,458,0.096,51.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01)
oligodendrocytes 16,107,0.162,9.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,729,0.266,91.0,182,18,9.89,2.77 (2.12-3.41),164,90.11,3.73 (3.47-4.00)
astrocytes microglia 23,137,0.37,51.0,188,34,18.09,2.30 (1.86-2.73),154,81.91,5.01 (4.67-5.35)
astrocytes 4,208,0.139,18.0,173,11,6.36,3.57 (3.00-4.15),162,93.64,3.81 (3.49-4.13)
oligodendrocytes 0,546,0.315,92.0,252,38,15.08,2.19 (1.73-2.65),214,84.92,4.52 (4.28-4.76)
microglia 1,406,0.54,92.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303,0.229,81.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95)
oligodendrocytes 2,526,0.456,89.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
