tipo_celular,module_size,STK40_MM,STK40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.184,48.0,102,5,4.9,2.60 (1.60-3.61),97,95.1,3.55 (3.17-3.92)
T cells 18,727.0,0.096,14.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,423.0,0.266,91.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666.0,0.163,48.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,599.0,0.258,73.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.085,16.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.186,51.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.09,12.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,250.0,0.064,14.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.185,71.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.139,78.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.043,10.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.075,15.0,358,15,4.19,1.58 (0.98-2.19),343,95.81,4.00 (3.81-4.19)
connective tissue cells 21,111.0,0.462,100.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.189,96.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,105.0,0.486,100.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.314,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.285,82.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.095,14.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,480.0,0.265,78.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.074,30.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.13,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
