tipo_celular,module_size,ZNF704_MM,ZNF704_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.168,54.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.143,60.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.156,50.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,637.0,0.115,29.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,408.0,0.323,76.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.232,57.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.653,94.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300.0,0.214,54.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45)
astrocytes 8,771.0,0.227,70.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,411.0,0.264,67.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,236.0,0.625,85.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,104.0,0.234,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.17,66.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,287.0,0.481,95.0,105,3,2.86,0.90 (0.75-1.04),102,97.14,5.26 (4.85-5.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.254,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.119,9.0,96,3,3.12,1.97 (1.86-2.07),93,96.88,3.34 (3.01-3.68)
oligodendrocytes 0,261.0,0.187,50.0,42,4,9.52,0.97 (0.80-1.14),38,90.48,4.50 (3.87-5.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.225,46.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.195,38.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
